"scenario","prior_set","prior_A","prior_B","xi_39","xi_65"
"1.1",1,"(1,1)","(1,1)",54.5,67.96
"1.2",1,"(3,7)","(2,8)",58.9,70.56
"1.2",2,"(6,14)","(3,17)",70.54,80.14
"1.2",3,"(9,21)","(5,25)",73.62,81.4
"1.2",4,"(12,28)","(6,34)",82.6,87.14
"1.2",5,"(15,35)","(8,42)",83.7,88.22
"1.3",1,"(3,7)","(2,8)",58.9,70.56
"1.3",2,"(6,14)","(4,16)",60.72,73.7
"1.3",3,"(9,21)","(6,24)",62.28,74.66
"1.3",4,"(12,28)","(8,32)",64.18,75.94
"1.3",5,"(15,35)","(10,40)",66.92,77.6
"1.4",1,"(3,7)","(1,9)",69.16,77.98
"1.4",2,"(6,14)","(2,18)",81.56,86.2
"1.4",3,"(9,21)","(3,27)",88.02,90.92
"1.4",4,"(12,28)","(4,36)",93.88,94.2
"1.4",5,"(15,35)","(5,45)",96.64,97.26
"1.5",1,"(5,5)","(4,6)",53.58,69.82
"1.5",2,"(10,10)","(7,13)",63.92,77.66
"1.5",3,"(15,15)","(11,19)",66.02,78.04
"1.5",4,"(20,20)","(14,26)",76.48,86.06
"1.5",5,"(25,25)","(18,32)",80.1,86.62
